USER_ID,CREATED_DATE,PRODUCT_ID,QUANTITY_SOLD,SALE_PRICE
1,2017-04-19,2,5,50000
3,2019-12-18,1,7,60000
2,2020-07-20,3,8,40000
1,2019-10-23,2,4,50000
1,2018-03-19,3,12,80000
3,2016-12-20,2,2,20000
1,2016-11-09,1,4,60000
1,2016-05-20,3,4,80000
2,2017-09-24,1,9,30000
1,2017-03-11,2,2,70000
1,2016-03-11,1,3,80000
3,2016-11-10,1,7,90000
3,2017-12-07,2,8,70000
3,2016-12-15,2,6,10000
2,2017-11-08,2,4,20000
2,2018-09-10,3,5,60000
4,2019-05-01,1,8,50000
5,2018-11-23,3,10,70000
6,2017-06-30,9,8,90000
7,2018-08-12,8,15,120000
